HT_Code,AT_Code,FT_Result_code,HT_Form,AT_Form,FT_HT_Goals,FT_AT_Goals,HT_HT_Goals,HT_AT_Goals,HT_Shots,AT_Shots,HT_Shots_target,AT_Shots_target,HT_Fouls_Comm,AT_Fouls_Comm,HT_Corners,AT_Corners,HT_Yellows,AT_Yellows,HT_Reds,AT_Reds,HT_W_Odds,Draw_Odds,AT_W_Odds,5GAV_FT_HT_Goals,5GAV_FT_AT_Goals,5GAV_HT_Shots,5GAV_AT_Shots,5GAV_HT_Shots_target,5GAV_AT_Shots_target,5GAV_HT_Fouls_Comm,5GAV_AT_Fouls_Comm,5GAV_HT_Corners,5GAV_AT_Corners,5GAV_HT_Yellows,5GAV_AT_Yellows,5GAV_HT_Reds,5GAV_AT_Reds,HT_Result_code,AVG_Influence_HT,AVG_ICT_Index_HT,Injured_Players_HT,AVG_Influence_AT,AVG_ICT_Index_AT,Injured_Players_AT,HT_Players_Performances,AT_Players_Performances
15,9,1,4,10,3,1,1,0,17,23,4,7,10,8,8,8,0,0,0,0,2.05,3.5,3.9,2.4,0.8,12.6,10.0,6.0,3.0,11.0,9.0,3.0,5.2,0.6,1.2,0.0,0.0,1,9.805555555555555,2.061111111111111,2.0,10.466666666666663,3.603333333333333,3.0,3.9333333333333336,4.034999999999998
3,29,0,10,13,0,0,0,0,8,16,1,4,10,15,7,4,2,4,0,0,4.2,3.6,1.95,1.0,2.2,12.2,12.4,4.6,6.4,9.4,9.8,4.4,5.0,1.4,1.6,0.2,0.0,0,14.687179487179488,3.1410256410256414,3.0,9.683333333333332,2.941666666666667,2.0,5.914102564102565,4.312499999999999
8,19,1,7,5,4,0,2,0,14,16,6,5,7,17,5,7,3,2,0,0,2.15,3.4,3.8,1.8,1.4,15.0,11.0,5.4,4.6,12.6,10.4,6.4,4.2,2.2,2.4,0.2,0.0,1,13.1375,3.1958333333333333,0.0,7.840000000000001,2.144444444444445,2.0,8.166666666666666,2.992222222222223
18,25,0,10,10,1,1,0,1,14,6,3,2,11,10,10,3,3,3,0,0,1.5,4.5,7.5,3.8,0.8,18.6,13.0,7.4,4.8,7.0,11.4,9.0,4.2,1.8,2.2,0.2,0.0,0,9.394871794871792,3.2461538461538457,4.0,8.572549019607845,2.37843137254902,3.0,2.3205128205128185,2.4754901960784323
19,6,0,5,6,0,0,0,0,37,7,11,1,12,9,19,1,1,3,1,0,1.2,7.0,19.0,1.6,1.2,15.6,8.6,4.8,3.0,10.6,11.2,8.0,4.0,1.8,2.2,0.0,0.0,0,7.164444444444444,2.568888888888889,4.0,15.55,2.3222222222222224,1.0,0.8666666666666671,7.936111111111112
29,15,0,11,7,1,1,1,0,22,6,5,1,11,20,8,1,3,4,0,0,1.62,4.2,6.0,1.6,2.0,16.0,10.8,7.0,3.0,9.0,8.2,5.8,6.0,2.4,0.8,0.0,0.0,1,8.275,2.91875,3.0,9.155555555555557,1.8472222222222223,3.0,2.5968750000000007,2.50138888888889
30,13,1,8,0,1,0,0,0,22,8,0,2,13,8,7,2,1,2,0,0,1.75,3.75,5.25,1.4,0.4,14.0,10.4,4.4,2.2,12.6,9.6,4.4,3.8,1.6,2.0,0.2,0.0,0,0.952380952380952,1.2142857142857142,3.0,7.1000000000000005,1.4611111111111112,6.0,-1.916666666666667,-1.719444444444444
9,16,0,7,13,2,4,2,3,7,17,6,10,15,5,3,3,1,2,0,0,5.25,4.0,1.7,1.6,0.8,15.8,12.0,4.8,3.6,10.0,9.4,9.2,6.2,1.2,0.8,0.0,0.0,0,12.580000000000002,3.713333333333333,3.0,10.62857142857143,2.7785714285714285,3.0,5.146666666666668,3.703571428571429
20,3,1,2,8,2,0,1,0,10,15,3,3,3,5,4,7,1,1,0,0,2.5,3.2,3.2,0.6,1.0,7.6,10.8,2.4,4.2,14.2,8.4,3.0,5.2,3.2,2.0,0.0,0.0,1,13.766666666666666,2.475,1.0,11.846153846153848,3.066666666666667,3.0,7.120833333333334,4.4564102564102575
27,1,0,1,13,1,4,0,1,3,21,1,7,9,13,0,8,4,3,0,0,9.0,5.0,1.4,0.4,1.6,9.0,15.6,3.2,5.2,10.0,9.4,5.0,4.8,2.4,1.8,0.0,0.0,0,13.4,2.344444444444445,7.0,11.216666666666669,3.595238095238095,6.0,0.8722222222222227,1.4059523809523817
31,18,0,6,8,0,4,0,2,9,21,1,8,17,10,1,7,4,3,0,0,8.0,4.75,1.44,1.0,2.4,12.0,20.8,4.0,7.4,11.8,8.6,5.2,7.6,1.4,1.8,0.0,0.0,0,9.575,2.025,1.0,12.553846153846154,4.071794871794872,2.0,4.8,6.3128205128205135
25,8,0,11,9,0,2,0,1,9,13,1,7,13,16,7,3,0,0,0,0,3.2,3.4,2.4,1.2,1.0,9.4,9.4,3.8,4.6,11.4,9.8,3.8,5.6,2.0,1.8,0.2,0.0,0,8.133333333333333,2.166666666666667,2.0,12.254166666666666,2.527083333333333,0.0,3.1500000000000004,7.390625
10,32,1,5,7,2,0,0,0,17,13,6,3,15,12,8,8,2,3,0,0,1.8,3.8,4.75,1.0,0.8,14.4,9.6,4.6,4.0,12.0,10.8,5.2,4.2,2.4,1.4,0.0,0.0,0,10.355555555555556,2.525,5.0,10.3125,2.125,5.0,1.4402777777777782,1.21875
