season_x,team,kickoff_time,rolling_avg_influence,rolling_avg_ict_index
2016-17,chelsea,2017-01-14 17:30:00+00:00,10.125490196078431,2.0901960784313722
2016-17,chelsea,2017-01-22 16:30:00+00:00,8.549019607843137,1.7784313725490197
2016-17,chelsea,2017-01-31 20:00:00+00:00,8.225925925925926,1.4944444444444445
2016-17,chelsea,2017-02-04 12:30:00+00:00,7.2518518518518515,1.4462962962962964
2016-17,chelsea,2017-02-12 13:30:00+00:00,7.0,1.414814814814815
2016-17,chelsea,2017-02-25 15:00:00+00:00,6.440740740740741,1.5203703703703701
2016-17,chelsea,2017-03-06 20:00:00+00:00,6.862962962962963,1.5722222222222222
2016-17,chelsea,2017-03-18 15:00:00+00:00,8.344444444444443,1.9833333333333334
2016-17,chelsea,2017-04-01 14:00:00+00:00,7.8999999999999995,2.287037037037037
2016-17,chelsea,2017-04-05 19:00:00+00:00,7.300000000000001,2.122222222222222
2016-17,chelsea,2017-04-08 16:30:00+00:00,6.377777777777777,1.7111111111111112
2016-17,chelsea,2017-04-16 15:00:00+00:00,6.051851851851852,1.151851851851852
2016-17,chelsea,2017-04-25 18:45:00+00:00,8.477777777777778,1.801851851851852
2016-17,chelsea,2017-04-30 13:05:00+00:00,9.314814814814817,1.975925925925926
2016-17,chelsea,2017-05-08 19:00:00+00:00,11.581481481481482,2.607407407407407
2016-17,chelsea,2017-05-12 19:00:00+00:00,9.985185185185186,2.440740740740741
2016-17,chelsea,2017-05-15 19:00:00+00:00,10.374074074074075,2.901851851851852
2016-17,chelsea,2017-05-21 14:00:00+00:00,10.007407407407408,3.012962962962963
2016-17,crystal palace,2016-08-13 14:00:00+00:00,8.31111111111111,2.5555555555555554
2016-17,crystal palace,2016-08-20 14:00:00+00:00,10.01,2.4050000000000002
2016-17,crystal palace,2016-08-27 14:00:00+00:00,9.826666666666666,2.943333333333333
2016-17,crystal palace,2016-09-10 14:00:00+00:00,13.493333333333334,3.593333333333333
2016-17,crystal palace,2016-09-18 13:15:00+00:00,18.06,4.673333333333334
2016-17,crystal palace,2016-09-24 14:00:00+00:00,19.953333333333333,4.53
2016-17,crystal palace,2016-09-30 19:00:00+00:00,18.293333333333333,4.306666666666667
2016-17,crystal palace,2016-10-15 16:30:00+00:00,11.086666666666666,3.1366666666666667
2016-17,crystal palace,2016-10-22 14:00:00+00:00,10.466666666666665,3.603333333333333
2016-17,crystal palace,2016-10-29 16:30:00+00:00,12.580000000000002,3.7133333333333334
2016-17,crystal palace,2016-11-05 15:00:00+00:00,16.473333333333333,4.56
2016-17,crystal palace,2016-11-19 15:00:00+00:00,16.76666666666667,3.913333333333333
2016-17,crystal palace,2016-11-26 15:00:00+00:00,18.6,4.453333333333333
2016-17,crystal palace,2016-12-03 15:00:00+00:00,19.66,4.133333333333334
2016-17,crystal palace,2016-12-10 15:00:00+00:00,20.506666666666668,4.35
2016-17,crystal palace,2016-12-14 20:00:00+00:00,14.872727272727273,2.972727272727273
2016-17,crystal palace,2016-12-17 12:30:00+00:00,11.909090909090908,2.3848484848484848
2016-17,crystal palace,2016-12-26 12:30:00+00:00,10.878787878787879,2.0575757575757576
2016-17,crystal palace,2017-01-01 16:00:00+00:00,11.684848484848485,2.16969696969697
2016-17,crystal palace,2017-01-03 20:00:00+00:00,12.339393939393942,2.1606060606060606
2016-17,crystal palace,2017-01-14 15:00:00+00:00,9.488888888888889,1.6611111111111112
2016-17,crystal palace,2017-01-21 15:00:00+00:00,8.483333333333333,1.6472222222222221
2016-17,crystal palace,2017-01-31 19:45:00+00:00,8.823809523809524,2.1714285714285717
2016-17,crystal palace,2017-02-04 15:00:00+00:00,8.613333333333333,2.6355555555555554
2016-17,crystal palace,2017-02-11 15:00:00+00:00,7.771111111111112,2.3544444444444443
2016-17,crystal palace,2017-02-25 15:00:00+00:00,7.564444444444445,2.3844444444444446
2016-17,crystal palace,2017-03-04 15:00:00+00:00,10.106666666666666,2.3244444444444445
2016-17,crystal palace,2017-03-18 15:00:00+00:00,10.564444444444444,2.408888888888889
2016-17,crystal palace,2017-04-01 14:00:00+00:00,13.266666666666667,2.3866666666666663
2016-17,crystal palace,2017-04-05 18:45:00+00:00,12.737777777777778,2.582222222222222
2016-17,crystal palace,2017-04-10 19:00:00+00:00,15.497777777777776,3.391111111111111
2016-17,crystal palace,2017-04-15 14:00:00+00:00,13.56,3.6466666666666665
2016-17,crystal palace,2017-04-23 15:30:00+00:00,13.231111111111112,3.2199999999999998
2016-17,crystal palace,2017-04-26 19:00:00+00:00,10.52888888888889,2.5533333333333332
2016-17,crystal palace,2017-04-29 16:30:00+00:00,8.92,2.348888888888889
2016-17,crystal palace,2017-05-06 11:30:00+00:00,7.568888888888888,2.12
2016-17,crystal palace,2017-05-14 11:00:00+00:00,10.146666666666667,2.488888888888889
2016-17,crystal palace,2017-05-21 14:00:00+00:00,9.413333333333332,1.9666666666666666
2016-17,everton,2016-08-13 14:00:00+00:00,14.30909090909091,2.409090909090909
2016-17,everton,2016-08-20 14:00:00+00:00,11.745454545454544,2.5454545454545454
2016-17,everton,2016-08-27 14:00:00+00:00,10.551515151515153,2.6666666666666665
